emp_id,Satisfaction_With_Work,Daily_Motivation,Role_Alignment,Recognition,Growth_Opportunities,Feedback_Quality,Career_Goals_Alignment,Coworker_Respect,Collaborative_Environment,Sense_of_Belonging,Manager_Support,Leadership_Trust,Transparent_Communication,Work_Life_Balance,Wellbeing,Workload_Fairness,12_Month_Commitment,Job_Search_Thoughts,Retention_If_Offered_Elsewhere,Overall_Satisfaction,Final_Verdict
2025_1,4,5,3,5,5,2,3,3,3,5,4,3,5,2,4,2,4,5,1,4,4
2025_2,2,5,4,1,1,3,3,2,4,4,3,4,4,1,3,5,3,5,1,2,3
2025_3,4,1,4,2,2,1,2,5,2,4,4,4,4,5,3,1,4,2,4,2,3
2025_4,2,4,5,2,2,4,2,2,4,4,1,5,5,2,5,2,1,4,4,4,3
2025_5,5,1,5,5,1,1,1,1,4,3,3,1,3,3,1,3,5,2,2,1,3
2025_6,4,1,4,2,1,5,3,4,3,3,1,3,5,3,1,5,2,3,1,2,3
2025_7,2,4,5,3,1,4,5,4,5,5,3,5,4,5,3,3,4,2,2,5,4
2025_8,1,5,4,4,4,4,4,3,2,4,1,1,1,1,3,1,4,5,1,3,3
2025_9,3,1,5,1,3,2,4,3,1,4,1,1,2,4,4,2,3,1,5,1,3
2025_10,1,3,1,2,2,4,5,1,1,3,2,5,4,2,4,3,3,1,5,4,3
2025_11,2,3,1,1,4,3,5,3,4,4,3,4,3,2,3,3,4,4,1,1,3
2025_12,2,1,3,4,1,1,2,2,3,4,2,1,4,4,1,2,1,4,5,5,3
2025_13,3,1,1,3,3,3,4,1,4,3,1,4,4,3,1,3,1,5,2,2,3
2025_14,2,3,5,1,4,1,4,1,5,4,3,1,1,4,3,3,5,3,3,3,3
2025_15,2,5,1,4,1,5,4,5,3,4,3,1,1,4,4,5,5,3,4,1,3
2025_16,5,5,1,5,3,4,1,4,5,5,1,3,2,1,2,2,3,2,2,3,3
2025_17,2,2,2,1,1,1,3,5,2,2,3,2,1,5,4,2,1,4,5,4,3
2025_18,1,4,3,4,2,2,3,1,2,5,2,2,1,4,2,3,4,5,1,5,3
2025_19,4,4,4,5,4,5,4,3,4,5,2,4,2,3,1,3,4,2,2,5,4
2025_20,2,5,1,4,5,1,2,2,1,2,1,5,5,1,5,5,5,3,4,2,3
2025_21,3,5,1,5,4,5,1,4,5,4,2,2,5,4,1,5,2,2,5,4,3
2025_22,2,4,2,2,3,2,1,5,5,4,2,1,4,3,4,4,2,3,4,1,3
2025_23,1,5,3,3,5,4,3,1,1,2,3,4,5,5,4,2,5,3,2,3,3
2025_24,1,2,5,2,2,2,2,3,1,4,2,5,2,5,3,5,4,1,5,5,3
2025_25,1,4,2,5,1,3,1,3,4,2,1,5,4,1,5,1,3,1,1,1,2
2025_26,4,1,5,3,3,1,4,4,5,1,3,4,1,4,4,3,2,5,5,3,3
2025_27,4,1,4,3,5,4,5,1,5,5,2,2,2,5,3,5,3,3,2,4,3
2025_28,1,2,2,4,1,5,5,2,1,2,3,2,2,5,5,5,3,5,1,4,3
2025_29,1,1,5,4,4,4,3,5,4,3,2,2,3,3,5,5,2,4,2,4,3
2025_30,4,5,1,1,3,5,4,1,4,1,1,1,5,2,4,5,5,5,5,5,3
2025_31,3,4,5,4,3,3,4,1,2,1,1,1,5,3,1,3,4,2,4,4,3
2025_32,5,2,4,4,2,2,4,2,4,4,5,1,4,3,1,1,1,5,4,5,3
2025_33,4,5,5,3,5,2,3,5,1,2,2,2,3,5,5,1,1,2,1,3,3
2025_34,5,2,1,3,3,1,5,1,2,1,3,1,5,4,1,5,5,3,5,5,3
2025_35,5,5,2,2,3,1,5,1,1,3,5,5,4,1,1,2,4,2,2,2,3
2025_36,3,3,2,4,1,4,5,3,1,1,5,5,2,3,3,4,2,2,2,2,3
2025_37,3,3,2,4,1,1,4,2,3,1,5,5,4,2,1,2,1,4,4,5,3
2025_38,2,5,2,5,3,3,3,3,1,3,4,4,1,3,3,3,5,2,5,2,3
2025_39,3,3,5,5,2,4,2,5,5,1,5,1,4,2,2,1,2,5,3,1,3
2025_40,2,1,1,3,5,1,2,4,1,1,3,5,4,2,4,2,5,2,3,3,3
2025_41,3,3,4,5,2,2,3,3,1,5,4,2,1,1,2,4,1,1,5,4,3
2025_42,1,4,2,3,1,5,2,4,2,1,4,3,2,1,5,4,2,2,3,3,3
2025_43,5,5,1,1,5,5,4,3,1,3,3,5,4,2,4,4,3,4,1,3,3
2025_44,1,2,3,2,3,5,4,5,2,4,3,4,1,4,1,4,1,2,5,3,3
2025_45,4,5,3,3,1,2,2,5,2,4,2,5,2,4,1,5,1,1,1,3,3
2025_46,3,1,5,4,4,2,5,3,1,2,4,3,3,1,4,5,3,1,5,4,3
2025_47,3,5,5,5,3,3,2,4,1,5,2,1,2,3,5,1,1,1,1,1,3
2025_48,2,5,3,3,3,3,2,4,5,1,4,3,4,5,1,1,5,5,3,1,3
2025_49,4,2,2,5,3,2,1,5,4,5,4,5,5,5,4,4,5,2,3,3,4
2025_50,3,4,4,2,3,3,5,4,3,2,2,3,4,2,5,2,1,1,4,3,3
2025_51,4,4,4,4,5,5,2,1,4,2,1,3,5,1,3,1,5,5,2,4,3
2025_52,1,1,3,5,1,5,1,2,4,1,5,2,1,3,4,1,2,3,2,2,2
2025_53,3,2,3,1,3,3,4,3,3,1,4,5,1,1,5,3,2,4,2,5,3
2025_54,1,1,4,1,1,4,4,5,1,1,5,3,3,3,5,1,5,5,3,2,3
2025_55,1,3,2,2,4,1,2,3,4,1,5,3,2,2,3,2,4,1,4,2,3
2025_56,5,1,1,3,3,5,1,5,3,3,1,4,2,3,3,4,4,5,5,2,3
2025_57,2,1,5,3,5,3,4,5,4,2,2,1,5,4,3,2,2,3,4,4,3
2025_58,5,5,1,2,5,4,3,4,2,4,1,2,3,1,2,3,1,1,2,5,3
2025_59,1,1,3,4,2,2,5,5,2,5,3,2,5,2,4,1,2,1,5,1,3
2025_60,2,4,5,2,5,3,1,3,2,4,5,1,5,2,5,1,2,5,4,2,3
2025_61,2,4,3,1,3,5,4,3,2,5,5,3,3,4,1,3,3,2,5,1,3
2025_62,2,4,4,3,3,4,3,1,3,5,3,2,1,2,2,5,1,1,1,1,3
2025_63,1,5,3,2,1,3,3,2,5,4,4,3,2,4,3,5,4,3,3,1,3
2025_64,5,1,2,1,1,4,3,5,1,5,1,2,1,4,3,2,1,5,2,2,3
2025_65,1,2,5,2,5,1,3,2,3,5,2,4,3,2,3,2,1,3,4,4,3
2025_66,5,2,3,5,3,2,4,1,4,5,1,5,2,1,5,2,4,2,3,2,3
2025_67,2,3,5,5,2,3,3,4,5,1,5,5,4,1,4,1,2,1,4,5,3
2025_68,1,1,3,5,2,4,2,5,1,1,5,1,1,1,4,4,3,2,5,5,3
2025_69,5,3,4,3,5,2,1,4,4,3,4,5,5,3,5,2,3,2,1,2,3
2025_70,1,1,2,3,5,5,1,1,3,4,2,1,5,3,2,3,2,2,1,3,2
2025_71,3,5,5,1,1,4,5,2,3,1,3,3,4,5,1,3,1,2,4,2,3
2025_72,1,1,5,3,3,2,4,3,5,2,2,5,4,5,4,5,5,1,2,5,3
2025_73,5,3,2,3,2,3,5,5,1,3,4,1,3,3,1,5,3,5,1,5,3
2025_74,2,4,3,4,5,3,5,2,1,3,2,2,3,5,2,4,2,5,5,4,3
2025_75,2,5,3,1,1,1,2,4,5,3,3,2,1,2,4,4,5,5,4,4,3
2025_76,4,2,4,3,1,4,1,2,1,2,3,2,2,5,4,4,3,3,4,5,3
2025_77,4,5,3,1,3,3,2,2,2,2,5,4,1,3,5,1,5,5,3,4,3
2025_78,2,4,3,3,3,1,4,4,5,5,5,3,4,3,1,5,3,3,1,2,3
2025_79,4,2,5,3,1,1,4,2,4,3,4,1,1,5,5,3,2,4,3,5,3
2025_80,4,5,4,2,3,4,1,1,4,4,4,1,1,4,5,5,2,3,5,1,3
2025_81,5,2,2,3,5,1,1,4,1,3,3,1,1,4,1,4,4,1,2,2,2
2025_82,4,1,2,1,1,1,5,1,5,4,2,2,2,2,2,2,2,4,1,3,2
2025_83,5,3,3,1,1,1,2,4,2,4,4,3,3,4,4,2,2,3,1,4,3
2025_84,2,3,2,4,4,5,1,5,3,2,3,4,5,5,5,3,4,2,2,3,3
2025_85,5,1,3,3,4,2,3,3,5,5,1,4,1,5,2,5,4,5,4,4,3
2025_86,4,4,4,2,1,3,1,4,2,5,2,4,2,2,4,2,3,3,2,5,3
2025_87,4,3,5,2,5,1,3,2,4,2,4,2,5,5,5,1,4,5,1,4,3
2025_88,2,1,3,1,1,4,2,3,5,5,1,4,4,5,3,2,3,2,5,2,3
2025_89,4,1,1,5,4,3,4,1,1,4,4,1,3,5,5,4,5,1,1,4,3
2025_90,4,4,3,5,4,2,2,1,5,4,2,5,1,3,5,5,3,5,1,1,3
2025_91,3,4,2,4,5,2,3,3,2,1,2,5,1,3,2,4,4,5,4,2,3
2025_92,2,4,2,5,1,5,5,2,1,2,3,2,2,2,1,2,1,4,3,1,2
2025_93,4,1,1,3,5,5,1,2,4,2,2,1,1,1,1,5,1,5,5,1,3
2025_94,3,4,2,5,4,3,2,2,5,1,3,5,3,1,1,5,1,4,2,5,3
2025_95,3,4,5,1,1,1,1,3,4,2,3,3,2,2,1,3,5,2,2,4,3
2025_96,5,5,2,1,4,5,2,5,4,4,3,2,4,3,3,5,5,3,5,4,4
2025_97,1,4,3,3,4,5,5,3,2,5,4,5,4,3,5,4,3,2,4,2,4
2025_98,2,1,5,4,2,1,3,4,2,5,1,2,5,2,4,4,4,1,4,5,3
2025_99,2,3,5,5,4,1,2,1,2,2,1,5,2,1,2,3,5,4,2,3,3
2025_100,4,4,2,1,2,3,4,2,1,2,5,1,3,4,2,1,5,1,5,3,3
2025_101,4,3,2,1,5,5,1,1,2,3,5,2,3,2,5,1,1,3,4,3,3
2025_102,4,2,2,5,4,5,1,4,3,1,1,3,1,4,5,1,4,2,4,5,3
2025_103,4,3,5,2,3,4,5,2,3,2,4,2,1,3,2,4,4,2,4,5,3
2025_104,5,5,1,2,1,4,1,4,4,3,5,4,3,5,4,4,1,1,5,4,3
2025_105,2,1,5,4,4,2,5,4,1,2,5,2,1,5,2,3,1,1,1,3,3
2025_106,3,4,2,4,2,3,3,4,5,4,2,4,1,2,2,5,3,2,3,4,3
2025_107,1,5,3,2,3,2,3,2,4,2,2,1,2,1,5,1,4,1,5,4,3
2025_108,3,3,1,1,5,5,2,5,2,4,1,4,5,4,4,4,5,4,2,5,3
2025_109,4,5,3,2,4,3,3,5,3,2,2,1,2,3,2,5,1,3,1,3,3
2025_110,5,1,4,3,4,1,4,4,1,5,4,4,5,4,4,4,2,5,4,5,4
2025_111,3,3,4,5,5,5,2,3,5,5,2,2,5,1,5,5,2,2,5,5,4
2025_112,5,2,5,5,4,1,3,1,4,3,5,4,5,2,4,2,4,4,2,3,3
2025_113,1,5,4,5,2,5,2,5,1,1,1,1,1,1,2,4,5,1,2,2,3
2025_114,2,4,5,4,3,2,3,1,1,4,5,3,5,4,1,5,5,1,3,1,3
2025_115,5,3,3,1,5,4,5,2,4,3,4,3,3,4,3,3,2,5,5,2,3
2025_116,4,1,1,1,2,2,3,1,4,4,1,1,1,2,2,2,5,4,4,3,2
2025_117,2,5,5,4,2,3,2,1,2,1,1,3,4,2,1,2,4,4,5,4,3
2025_118,3,1,5,3,2,1,4,1,2,5,5,5,4,3,3,1,4,5,5,2,3
2025_119,2,5,5,4,3,2,3,4,5,3,5,5,1,3,3,5,4,1,5,2,4
2025_120,2,1,4,5,3,1,4,3,2,2,3,1,2,5,3,3,2,1,5,1,3
2025_121,4,4,2,2,2,4,1,1,2,5,1,4,3,3,3,5,2,4,5,4,3
2025_122,4,2,3,2,5,5,5,2,4,4,1,5,4,1,4,5,3,5,2,4,4
2025_123,4,2,2,3,4,4,3,1,3,5,4,2,5,4,3,5,4,1,1,2,3
2025_124,4,1,3,4,3,3,1,4,5,1,1,4,4,3,4,3,1,2,5,1,3
2025_125,4,5,2,2,3,5,3,1,5,1,3,5,3,5,3,2,3,2,3,5,3
2025_126,5,5,4,1,5,2,5,4,2,4,2,3,1,1,4,1,4,4,4,1,3
2025_127,4,1,4,5,4,2,4,3,4,2,2,1,5,4,1,5,4,3,4,2,3
2025_128,2,3,1,5,4,2,1,3,2,3,4,5,2,2,4,1,5,2,5,2,3
2025_129,5,3,2,5,1,3,3,1,5,4,1,5,1,1,2,5,4,2,1,1,3
2025_130,1,5,5,2,4,2,3,1,1,1,2,2,1,2,5,5,2,1,2,2,2
2025_131,2,3,5,4,4,3,2,3,3,1,5,4,2,4,4,5,4,4,3,5,4
2025_132,1,2,4,2,1,2,1,3,4,1,2,4,3,4,1,3,2,3,3,5,3
2025_133,3,3,4,2,4,4,1,4,5,5,1,2,2,4,4,4,2,3,5,3,3
2025_134,3,2,3,1,4,1,5,4,3,5,4,3,1,4,3,1,5,5,5,5,3
2025_135,2,4,4,2,3,3,5,1,3,1,4,1,4,2,2,5,3,5,4,5,3
2025_136,1,4,2,3,4,4,1,3,2,4,4,1,5,2,3,4,4,2,5,4,3
2025_137,2,1,5,3,4,2,1,3,2,2,3,1,1,5,4,3,3,3,1,4,3
2025_138,5,2,2,3,4,1,4,4,1,3,4,2,1,5,3,1,5,5,4,4,3
2025_139,4,1,1,3,4,5,2,3,1,3,3,3,3,2,4,5,3,3,3,4,3
2025_140,1,1,2,1,3,3,3,2,3,1,4,4,5,1,3,4,1,4,3,4,3
2025_141,5,5,4,1,1,1,4,1,3,5,3,1,3,1,4,3,4,4,2,1,3
2025_142,5,1,5,1,4,3,3,2,5,5,5,4,5,3,4,1,5,5,1,5,4
2025_143,1,4,3,1,2,1,5,4,4,1,3,2,4,5,5,3,4,1,5,3,3
2025_144,4,4,4,4,4,5,3,4,2,2,3,1,1,1,2,1,5,4,2,3,3
2025_145,3,4,2,1,1,5,5,1,3,3,5,4,1,5,5,1,1,3,4,4,3
2025_146,1,2,5,5,1,2,3,1,1,5,1,1,1,5,3,3,1,5,3,3,3
2025_147,3,5,5,1,4,3,4,5,5,5,4,5,1,5,2,4,2,5,1,3,4
2025_148,5,1,4,2,2,2,4,1,4,2,5,3,4,4,1,1,4,2,3,1,3
2025_149,2,5,1,2,2,3,3,5,2,2,3,1,1,4,3,4,3,5,2,5,3
2025_150,3,2,1,1,4,3,3,1,5,2,5,5,1,1,1,4,5,3,2,4,3
2025_151,3,5,1,5,2,4,4,2,3,3,4,4,1,3,2,3,1,4,4,1,3
2025_152,2,4,5,4,5,1,1,4,3,5,2,4,2,4,3,3,3,3,1,1,3
2025_153,5,2,4,4,1,4,1,5,2,5,3,3,3,5,4,2,3,3,3,2,3
2025_154,3,2,3,5,5,2,5,2,5,5,2,4,5,3,4,2,4,1,1,5,3
2025_155,5,3,4,1,5,4,5,5,1,1,5,2,5,5,3,3,3,2,2,5,3
2025_156,3,2,1,5,4,5,4,3,4,3,1,4,5,3,5,2,3,4,3,5,3
2025_157,1,3,4,2,1,2,3,5,5,4,5,1,5,4,3,3,5,2,3,5,3
2025_158,4,5,3,4,5,1,4,1,2,4,1,3,3,2,4,4,4,2,4,3,3
2025_159,1,3,3,1,3,2,1,3,5,3,2,4,3,4,5,3,1,4,5,1,3
2025_160,1,1,1,3,3,3,5,5,5,2,5,3,3,2,2,5,4,2,1,3,3
2025_161,1,3,3,2,2,1,3,1,4,1,5,1,5,5,5,4,1,1,4,3,3
2025_162,2,1,2,4,3,3,3,4,5,5,2,5,5,3,3,2,1,2,2,4,3
2025_163,4,2,2,2,5,4,2,3,3,5,5,1,1,1,5,5,5,3,5,3,3
2025_164,1,1,1,2,2,4,4,4,2,2,4,4,5,4,5,3,2,4,2,2,3
2025_165,2,3,1,4,1,1,1,2,5,2,2,1,2,1,5,4,1,5,4,3,2
2025_166,1,1,3,3,1,3,2,4,4,4,2,3,5,3,1,4,3,5,1,2,3
2025_167,2,5,1,4,3,1,2,5,5,3,5,5,1,4,3,1,4,1,1,5,3
2025_168,4,3,3,4,5,2,1,5,4,1,3,2,3,4,1,4,1,5,2,5,3
2025_169,5,4,2,1,1,3,1,4,5,5,5,2,1,4,2,3,4,4,4,5,3
2025_170,4,1,4,5,4,3,3,5,1,1,2,5,4,5,2,5,5,2,1,4,3
2025_171,2,3,1,3,1,4,4,5,3,1,4,2,4,2,1,4,4,1,4,2,3
2025_172,4,3,5,2,3,1,2,5,5,1,1,2,4,1,4,3,5,4,5,4,3
2025_173,3,1,3,1,1,5,3,4,3,5,1,5,2,2,4,5,4,4,2,4,3
2025_174,2,1,5,4,2,3,4,1,1,3,2,4,2,1,2,1,2,3,5,3,3
2025_175,3,5,5,4,4,3,3,1,1,4,4,1,1,2,2,1,2,5,4,4,3
2025_176,1,3,1,2,3,2,5,2,5,5,2,2,5,3,5,4,5,3,4,1,3
2025_177,1,3,5,2,3,4,4,1,4,3,4,3,2,1,4,3,5,1,2,3,3
2025_178,2,2,4,4,3,5,3,5,2,1,3,3,5,2,2,5,2,4,1,3,3
2025_179,1,3,4,2,5,4,1,5,2,4,5,4,4,2,3,5,2,4,2,3,3
2025_180,5,3,1,5,3,4,5,5,2,4,1,3,2,3,1,1,5,1,3,4,3
2025_181,4,5,3,3,1,3,2,1,2,5,4,5,4,5,3,2,4,1,2,1,3
2025_182,2,2,5,4,4,2,3,3,1,1,5,2,1,1,2,5,1,5,4,5,3
2025_183,3,3,5,3,4,2,3,3,5,4,2,5,5,4,2,4,2,4,5,5,4
2025_184,1,3,4,1,3,4,2,3,5,1,3,3,5,4,2,5,2,4,3,2,3
2025_185,1,1,5,4,5,5,5,1,1,5,1,4,5,1,2,5,5,4,3,3,3
2025_186,4,4,4,3,4,1,5,5,2,2,5,1,3,3,1,3,4,5,5,1,3
2025_187,3,2,2,3,2,1,1,3,2,1,1,4,4,1,3,5,5,1,1,1,2
2025_188,3,4,1,1,2,3,1,2,5,1,1,2,3,1,5,1,5,4,4,5,3
2025_189,3,1,1,4,5,1,1,3,2,4,4,2,1,3,3,4,3,2,1,2,2
2025_190,5,4,3,5,3,1,1,1,3,5,1,5,3,5,3,3,4,3,3,2,3
2025_191,1,4,4,4,2,3,1,5,3,2,3,3,2,4,4,1,1,4,5,3,3
2025_192,5,3,4,1,1,5,1,4,5,3,1,2,1,3,5,3,2,4,1,5,3
2025_193,4,3,5,4,5,2,2,1,1,2,5,2,1,2,2,5,4,1,5,2,3
2025_194,2,4,1,1,3,1,4,3,3,2,2,1,3,2,4,2,2,3,3,5,3
2025_195,4,3,1,4,4,3,4,3,2,5,2,3,3,2,1,1,1,3,4,3,3
2025_196,4,2,5,4,1,3,2,1,2,5,3,3,5,3,4,2,1,5,4,1,3
2025_197,1,5,4,1,1,4,3,1,2,4,1,5,2,1,2,2,3,2,3,4,3
2025_198,3,5,1,4,4,5,3,1,3,2,3,4,1,3,1,1,2,2,4,5,3
2025_199,1,5,4,1,1,5,3,2,3,5,2,3,2,1,3,2,2,2,3,4,3
2025_200,3,5,3,2,1,3,3,2,1,1,5,3,1,1,4,4,1,5,1,2,3
2025_201,3,5,2,5,2,3,3,4,2,4,2,4,3,5,4,2,2,3,2,1,3
2025_202,5,4,5,3,4,4,1,3,2,1,1,5,5,5,1,2,4,5,2,3,3
2025_203,5,4,3,3,4,5,1,4,4,4,3,2,1,5,5,2,4,1,5,5,4
2025_204,4,2,1,2,2,1,1,5,5,1,3,5,3,1,5,2,1,4,3,1,3
2025_205,1,5,5,5,4,5,1,5,2,5,4,2,1,1,3,2,3,2,2,4,3
2025_206,3,4,2,1,2,4,3,3,4,3,5,1,1,1,3,3,2,2,1,5,3
2025_207,2,2,3,5,1,2,5,5,1,5,5,5,2,1,5,5,2,1,3,2,3
2025_208,1,5,1,1,1,3,1,3,5,3,5,5,3,2,4,1,4,1,1,5,3
2025_209,1,1,3,4,3,1,5,3,3,2,1,5,3,3,5,1,2,3,2,4,3
2025_210,1,4,4,4,1,1,5,2,2,5,5,4,5,3,2,5,3,3,3,3,3
2025_211,4,3,4,4,3,2,3,3,3,2,1,1,4,4,2,5,1,4,1,2,3
2025_212,2,5,5,2,4,1,3,5,3,4,5,3,4,1,4,5,2,1,3,5,3
2025_213,2,4,2,5,5,2,4,2,5,5,3,3,1,5,3,2,4,2,4,3,3
2025_214,1,2,2,2,4,3,2,2,1,1,3,3,5,1,5,4,5,2,5,3,3
2025_215,4,2,5,4,4,2,5,4,4,1,4,1,5,5,5,3,5,4,2,1,4
2025_216,3,5,5,2,2,3,1,5,3,4,4,3,5,3,5,2,3,5,3,3,3
2025_217,5,5,1,3,4,3,3,5,3,3,4,5,3,2,1,4,3,2,3,3,3
2025_218,5,5,5,2,3,1,4,5,5,3,3,2,2,5,3,1,4,3,3,2,3
2025_219,4,5,3,5,3,5,4,2,4,1,2,4,1,3,3,5,2,3,2,3,3
2025_220,5,4,5,1,3,1,1,2,3,1,4,1,4,2,1,5,2,4,2,1,3
2025_221,3,3,4,4,3,4,2,5,5,2,5,1,2,4,2,3,4,3,4,5,3
2025_222,2,1,4,4,3,5,3,3,5,1,3,3,4,5,2,1,1,5,4,4,3
2025_223,5,4,1,1,2,5,3,3,2,2,4,2,2,3,4,2,2,4,5,4,3
2025_224,3,5,1,4,3,5,4,2,4,1,4,5,5,4,5,2,4,2,2,3,3
2025_225,4,5,2,3,4,4,1,1,2,1,2,5,2,1,5,1,2,3,4,1,3
2025_226,2,5,1,1,4,2,3,5,2,5,1,4,4,3,4,1,3,2,4,3,3
2025_227,1,5,5,1,1,5,3,5,1,4,2,4,4,1,5,3,4,5,3,4,3
2025_228,3,5,2,5,1,3,2,3,3,4,1,3,5,5,4,1,1,5,2,4,3
2025_229,4,5,5,2,2,1,4,4,5,1,4,1,1,5,1,2,2,3,5,3,3
2025_230,2,3,5,5,1,4,1,5,2,2,1,5,2,5,2,5,3,5,5,1,3
2025_231,3,4,1,4,2,4,5,4,1,1,4,1,1,4,3,3,2,1,4,1,3
2025_232,5,1,1,3,4,1,3,2,3,3,3,1,1,2,5,5,5,2,5,5,3
2025_233,3,1,1,3,3,3,1,5,3,2,3,4,3,1,3,4,2,5,3,4,3
2025_234,4,2,1,3,4,2,5,4,2,1,1,4,4,3,2,4,3,3,4,1,3
2025_235,2,2,1,4,2,4,4,3,1,4,5,1,2,3,2,2,1,2,4,2,3
2025_236,3,3,5,3,2,3,1,3,4,1,5,4,2,2,2,4,4,4,1,1,3
2025_237,2,3,2,5,1,4,1,4,5,5,1,4,5,2,2,4,1,5,1,2,3
2025_238,5,1,3,4,4,3,2,5,4,3,3,2,2,1,4,1,3,5,5,2,3
2025_239,5,5,5,3,5,5,5,1,3,2,1,4,3,3,4,4,4,2,5,3,4
2025_240,5,5,4,2,1,2,5,2,4,1,4,1,5,1,1,1,2,2,5,1,3
2025_241,3,5,1,1,2,5,1,1,5,3,5,5,3,5,1,5,3,4,5,2,3
2025_242,1,1,2,2,5,2,4,3,2,2,4,1,1,5,4,3,3,4,3,1,3
2025_243,3,3,4,4,3,2,4,5,5,1,3,2,1,3,4,5,2,5,4,3,3
2025_244,4,4,5,2,4,5,2,3,3,1,5,2,4,3,2,5,1,3,2,2,3
2025_245,2,5,5,5,4,2,3,5,5,2,5,4,4,5,2,2,2,1,5,2,4
